INPUT:comment	GOLDEN:quality
Yes I am a feminist. Intersectional feminism!!! #fyp #lgbtq #lesbian #wlw #feminism #activism #gay #bi #girls	1
I just thought this was something cool that I learned #fyp #blm #blackgirl #blackqueen #blackisbeautifiul #feminism","createTime	1
I just want to stay home and sleep bro😩 #feminism #women #foryoupage #fyp	0
Story time: He said he hated me in the middle of the math. 👁👄👁 #wrestling #girlswrestling #girlswrestletoo #girlswrestle #feminism #feminist #judo	0
someone help me make a daughter  #feminism  #feminist  #fyp	0
no no women bad periods yuck😡#fyp #theboys #feminism	-1
What’s happening in the US right now is terrifying #prochoice #proabortion #feminism #womensrights #texas	-1
Girls, I am so glad 👏👏#festivefashion #makeitmagical #feminism #selflove #empowerment	1
if your not a feminist then your a sexist #Destinationdepop #greenscreensticker #feminism #humanrights #fyp #lgbt	-1
she profits over sexualisation of a child aesthetic, r*pe fantasies and acts like a baby. a man who finds her sexy??? nah bro ur weird #feminism	-1
