INPUT:comment	GOLDEN:quality
"You, yourself, as much as anybody in the entire universe, deserve your love and affection
#selflove
#selfcare… https://t.co/AfcKBpHlZJ"	1
Colombia's grassroots feminism movement, @EstamosListas, wants to solidify its influence through political determin… https://t.co/8MqXm8UBbg	0
Happy Earth Day from my little ambassador 🌎❤️😭 #imwithher @ Bourbonnais, Illinois https://t.co/Y0Um1LU6qJ	1
Historic! @vp #kamalaharris &amp; @speakerpelosi at @potus #joebiden Presidential Address to #congress  I am SO PROUD o… https://t.co/y79HY9D6Jx	1
Hammock today at 5:30 @believefitnessstudio 2spots left come play#aerial #aerialhammock #tonight #believefitness… https://t.co/k8TmOGgx4E	0
Happy Belated Bro‼️It’s Crazy How We Knew Each For So Long &amp; Never Knew We Shared Da Same #Birthday…	1
Most of the time this is a deterrent. But you get those few that just don’t get the hint I am not interested. 	0
my brother is really planning his wedding and i’m writing ess*ys on feminism i really hate this academia shit	-1
I hate mainstream feminism so much oh my god	-1
colombia's grassroots feminism movement, @EstamosListas, wants to solidify its influence through political determin… https://t.co/8MqXm8UBbg	-1
